beds,city,price,sq__ft,zip
2,SACRAMENTO,62050,623,95817
2,SACRAMENTO,92000,956,95833
2,SACRAMENTO,61000,876,95823
2,SACRAMENTO,90000,795,95826
2,SACRAMENTO,207000,723,95820
2,SACRAMENTO,78400,746,95824
2,SACRAMENTO,292024,1126,95818
2,CITRUS HEIGHTS,116250,795,95621
2,SACRAMENTO,427500,1788,95814
2,SACRAMENTO,220000,950,95831
2,WEST SACRAMENTO,147000,884,95691
2,SACRAMENTO,81900,797,95824
2,SACRAMENTO,220000,1115,95817
2,SACRAMENTO,126960,795,95826
2,ANTELOPE,115000,836,95843
2,SACRAMENTO,71000,900,95838
2,SACRAMENTO,156000,810,95825
2,ROCKLIN,370000,1596,95765
2,CARMICHAEL,220702,1637,95608
2,SACRAMENTO,145000,722,95820
2,SACRAMENTO,75000,861,95824
2,SACRAMENTO,110700,1134,95842
2,SACRAMENTO,205000,1089,95818
2,SACRAMENTO,120000,588,95833
2,ANTELOPE,180000,1007,95843
2,SACRAMENTO,68000,834,95820
2,NORTH HIGHLANDS,131750,1118,95660
3,CAMERON PARK,399000,2016,95682
3,SACRAMENTO,244000,1269,95828
3,FAIR OAKS,286013,1450,95628
3,ELK GROVE,180400,1716,95758
3,SACRAMENTO,425000,1493,95819
3,CITRUS HEIGHTS,192700,1329,95621
3,SACRAMENTO,205878,1430,95838
3,SACRAMENTO,195000,1174,95826
3,ELK GROVE,220000,1261,95757
3,SACRAMENTO,157500,1302,95832
3,SACRAMENTO,189000,1420,95823
3,ROSEVILLE,326951,0,95678
3,SACRAMENTO,198000,1150,95820
3,SACRAMENTO,388000,1639,95818
3,SACRAMENTO,106250,1289,95823
3,ROSEVILLE,217500,1758,95678
3,ELK GROVE,288000,1735,95758
3,SACRAMENTO,137760,1260,95833
3,SACRAMENTO,92000,924,95824
3,PENRYN,506688,1320,95663
3,SACRAMENTO,296769,1411,95838
3,ROSEVILLE,220000,0,95678
3,ANTELOPE,161500,1711,95843
3,SACRAMENTO,231477,1478,95823
3,RIO LINDA,240122,1193,95673
3,SACRAMENTO,136500,1380,95827
3,SACRAMENTO,85500,1092,95838
3,SACRAMENTO,107502,1020,95822
3,SACRAMENTO,208000,1511,95834
3,NORTH HIGHLANDS,125000,901,95660
3,SACRAMENTO,115620,1410,95838
3,PLACERVILLE,677048,2025,95667
3,SACRAMENTO,160000,1488,95823
3,GALT,122000,1080,95632
3,GOLD RIVER,305000,1981,95670
3,SACRAMENTO,209000,1120,95835
3,EL DORADO HILLS,235738,1362,95762
3,SACRAMENTO,233641,1058,95822
3,ORANGEVALE,260000,1196,95662
3,CITRUS HEIGHTS,250000,1305,95621
3,GALT,140000,1266,95632
3,ROSEVILLE,350000,2172,95678
3,ELK GROVE,250000,1636,95758
3,RIO LINDA,98937,1146,95673
3,SACRAMENTO,197654,1505,95838
3,SACRAMENTO,660000,2325,95864
3,ELK GROVE,228000,1450,95757
3,RANCHO CORDOVA,175000,1671,95670
3,ROCKLIN,488750,0,95677
3,SACRAMENTO,146250,1418,95823
3,EL DORADO HILLS,460000,0,95762
3,EL DORADO HILLS,400000,0,95762
3,SACRAMENTO,104000,1354,95823
3,SACRAMENTO,174250,1463,95823
3,ORANGEVALE,250000,1176,95662
3,SACRAMENTO,145000,1120,95822
3,CITRUS HEIGHTS,122000,1118,95621
3,SACRAMENTO,284686,1922,95814
3,SACRAMENTO,150000,1466,95823
3,SACRAMENTO,127059,1093,95817
3,LINCOLN,4897,0,95648
3,ELK GROVE,190000,1273,95758
3,CARMICHAEL,266000,1713,95608
3,SACRAMENTO,216021,888,95828
3,CITRUS HEIGHTS,284893,1343,95621
3,CITRUS HEIGHTS,194000,1137,95621
3,CITRUS HEIGHTS,170000,1103,95621
3,PLACERVILLE,300000,1329,95667
3,SACRAMENTO,365000,1683,95817
3,RANCHO CORDOVA,120108,1098,95670
3,SACRAMENTO,193500,1513,95823
3,FAIR OAKS,525000,3173,95628
3,FAIR OAKS,200000,1144,95628
3,SACRAMENTO,347029,1961,95823
3,SACRAMENTO,149600,1407,95828
3,SACRAMENTO,168000,1039,95820
3,SACRAMENTO,154000,1207,95822
3,ORANGEVALE,225000,1456,95662
3,CARMICHAEL,181872,1152,95608
3,NORTH HIGHLANDS,111000,1051,95660
3,SACRAMENTO,188335,1328,95833
3,SACRAMENTO,205000,1289,95828
3,SACRAMENTO,362305,1800,95835
4,SACRAMENTO,232425,2280,95829
4,SACRAMENTO,381942,2054,95831
4,ANTELOPE,387731,1830,95843
4,ELK GROVE,346210,1801,95758
4,SACRAMENTO,165000,1580,95823
4,SACRAMENTO,220000,1566,95825
4,SACRAMENTO,89000,1316,95815
4,SACRAMENTO,240000,1816,95829
4,CAMERON PARK,423000,0,95682
4,FOLSOM,339000,1595,95630
4,ELK GROVE,445000,2002,95758
4,SACRAMENTO,328578,1659,95834
4,RANCHO CORDOVA,296056,1524,95670
4,SACRAMENTO,137721,1890,95838
4,GOLD RIVER,528000,3037,95670
4,SACRAMENTO,123000,1341,95823
4,SACRAMENTO,416767,1744,95815
4,ROCKLIN,600000,0,95677
4,CITRUS HEIGHTS,280000,1582,95621
4,SACRAMENTO,221250,1776,95825
4,ELK GROVE,275000,2056,95758
4,SACRAMENTO,228000,1605,95826
4,GALT,353767,1606,95632
4,SACRAMENTO,158000,1358,95828
4,ELK GROVE,235301,1685,95758
4,SACRAMENTO,340000,2155,95833
4,SACRAMENTO,235000,1936,95828
4,ANTELOPE,265000,1768,95843
4,FOLSOM,539000,2462,95630
4,ELK GROVE,211500,1740,95624
4,ROCKLIN,402000,2607,95765
4,EL DORADO HILLS,262500,1808,95762
4,ELK GROVE,240000,2367,95624
4,SACRAMENTO,230000,1871,95833
4,FOLSOM,575000,3229,95630
4,SACRAMENTO,351300,1915,95823
4,SACRAMENTO,147000,1590,95828
4,CITRUS HEIGHTS,215000,1578,95621
4,SACRAMENTO,223000,1627,95842
4,ORANGEVALE,250000,1456,95662
4,SACRAMENTO,230000,1715,95823
4,LINCOLN,297500,0,95648
4,ELK GROVE,249000,1899,95758
4,ELK GROVE,274425,2724,95757
4,SACRAMENTO,236000,1448,95833
4,SACRAMENTO,131750,1309,95822
4,ELK GROVE,347650,3134,95757
4,SACRAMENTO,311518,2169,95831
4,SACRAMENTO,277980,2550,95835
4,SACRAMENTO,173000,1590,95828
4,FOLSOM,450000,2581,95630
4,SACRAMENTO,179000,1695,95823
